,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
79,3828974,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:12:16.63,2:01:59.7,22.7493000031,(373736) 2002 TQ27       ,00 12 01.7 ,+02 03 10  ,20.6   ,3.7W   ,1.2N    ,32+    , 8+  ,  6o  ,None needed at this time.,0.00113731907651
80,922339,1d285ded-16c5-434c-b478-fb3fe407d011,0:11:14.19,0:59:36.6,22.7236995697,         2015 AT202      ,00 11 17.7 ,+01 03 32  ,23.2   ,0.9E   ,3.9N    ,30-    ,11-  ,   o  ,Leave for survey recovery.,0.00116943947051
81,2691653,1d285ded-16c5-434c-b478-fb3fe407d011,0:10:02.85,0:47:47.9,21.7006988525,(376422) 2012 GP31       ,00 10 01.3 ,+00 45 44  ,21.8   ,0.4W   ,2.1S    ,31-    , 8-  ,  7o  ,None needed at this time.,0.000611166680409
82,2691653,1d285ded-16c5-434c-b478-fb3fe407d011,0:10:02.85,0:47:47.9,21.7006988525,(332369) 2007 ER161      ,00 09 54.5 ,+00 45 34  ,20.6   ,2.1W   ,2.2S    ,23-    ,14-  ,  7o  ,None needed at this time.,0.000888861683571
83,2691653,1d285ded-16c5-434c-b478-fb3fe407d011,0:10:02.85,0:47:47.9,21.7006988525,(129006) 2004 TV294      ,00 09 46.8 ,+00 49 35  ,20.1   ,4.0W   ,1.8N    ,27-    , 5-  , 11o  ,None needed at this time.,0.00127736532157
84,3826770,1d285ded-16c5-434c-b478-fb3fe407d011,0:08:48.52,0:35:04.5,22.3743991852,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
85,3788680,1d52459b-71d9-4fdf-a541-35879f6a7335,0:01:28.87,1:55:27.7,22.5999984741,         2014 WB425      ,00 01 27.8 ,+01 53 02  ,22.6   ,0.3W   ,2.4S    ,10-    , 1+  ,   o  ,Leave for survey recovery.,0.000710641740782
86,3788680,1d52459b-71d9-4fdf-a541-35879f6a7335,0:01:28.87,1:55:27.7,22.5999984741,         2011 GO49       ,00 01 22.0 ,+01 51 38  ,22.2   ,1.7W   ,3.8S    , 1-    ,12-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 65.6,-14.7,23.1)",0.0012204389814
87,3167344,1d982d6f-c3f2-4758-a0f7-1d241d9e52c7,0:11:39.42,1:10:57.8,22.9692993164,(113178) 2002 RG103      ,00 11 42.0 ,+01 11 01  ,18.5   ,0.7E   ,0.1N    ,31-    , 7-  , 10o  ,None needed at this time.,0.000188223342971
88,3167344,1d982d6f-c3f2-4758-a0f7-1d241d9e52c7,0:11:39.42,1:10:57.8,22.9692993164,(436395) 2010 VJ176      ,00 11 39.5 ,+01 13 01  ,18.9   ,0.0E   ,2.1N    ,44-    , 2+  ,  4o  ,None needed at this time.,0.000597318775443
89,3167344,1d982d6f-c3f2-4758-a0f7-1d241d9e52c7,0:11:39.42,1:10:57.8,22.9692993164,         2007 CB66       ,00 11 55.0 ,+01 09 04  ,21.1   ,3.9E   ,1.9S    ,35-    ,14-  ,  6o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 70.7,-23.6,24.1)",0.00125998848116
90,2686650,1d982d6f-c3f2-4758-a0f7-1d241d9e52c7,0:10:29.06,1:00:42.2,22.106300354,(332489) 2008 FP18       ,00 10 44.0 ,+00 59 55  ,21.7   ,3.7E   ,0.8S    ,29-    ,13-  ,  6o  ,None needed at this time.,0.00111014070456
91,3789558,1d982d6f-c3f2-4758-a0f7-1d241d9e52c7,0:08:28.92,0:42:25.9,21.9629993439,         2006 SB171      ,00 08 30.7 ,+00 39 33  ,22.7   ,0.5E   ,2.9S    ,35+    ,11+  , 15d  ,Leave for survey recovery.,0.000848177324505
92,3439120,1e258b9c-1d86-4c55-863a-07bd17d234be,23:57:40.27,0:09:04.5,21.9020996094,(178486) 1999 TB64       ,23 57 41.6 ,+00 10 04  ,19.8   ,0.3E   ,1.0N    ,38-    ,10-  ,  8o  ,None needed at this time.,0.000304247119221
93,3439120,1e258b9c-1d86-4c55-863a-07bd17d234be,23:57:40.27,0:09:04.5,21.9020996094,         2013 SZ61       ,23 57 48.0 ,+00 09 13  ,20.7   ,1.9E   ,0.1N    ,29-    , 9-  ,  4o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (137.9,-08.0,21.8)",0.000563647924964
